month,year,days_in_month,weekend_days,public_holiday_count_kr,public_holiday_weekday_count_kr,nonworking_days_weekend_or_holiday,longest_consecutive_nonwork_days,long_weekend_3plus_days_in_month,holiday_names_kr,is_summer_peak_jun_aug,is_vacation_peak_jul_aug,kbo_regular_games,kbo_regular_game_days,is_kbo_regular_season,kbo_postseason_games,kbo_postseason_game_days,is_kbo_postseason,sports_major_event_days,is_sports_major_event_month,olympics_days,fifa_world_cup_days,asian_games_days,sports_major_event_names,regional_festival_count_planned,regional_festival_days_est,regional_festival_offline_or_hybrid_count,regional_festival_offline_or_hybrid_days_est,regional_festival_vague_date_count,beer_festival_count_keyword,beer_festival_days_est_keyword,beer_festival_offline_or_hybrid_count_keyword,events_data_source_note
2021-07,2021,31,9,0,0,9,2,0,none,1,1,33,10,1,0,0,0,9,1,9,0,0,Tokyo 2020 Summer Olympics (held 2021),78,273,77,272,50,3,3,3,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-08,2021,31,9,2,1,10,3,3,2021-08-15 광복절; 2021-08-16 광복절 대체 휴일,1,1,81,20,1,0,0,0,8,1,8,0,0,Tokyo 2020 Summer Olympics (held 2021),121,345,119,341,79,3,3,3,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-09,2021,30,8,3,3,11,5,5,2021-09-20 추석 전날; 2021-09-21 추석; 2021-09-22 추석 다음날,0,0,132,26,1,0,0,0,0,0,0,0,0,none,171,507,168,499,111,4,7,4,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-10,2021,31,10,4,2,12,3,6,2021-10-03 개천절; 2021-10-04 개천절 대체 휴일; 2021-10-09 한글날; 2021-10-11 한글날 대체 휴일,0,0,122,28,1,0,0,0,0,0,0,0,0,none,297,885,290,862,177,2,2,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-11,2021,30,8,0,0,8,2,0,none,0,0,0,0,0,11,11,1,0,0,0,0,0,none,62,176,62,176,36,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2021-12,2021,31,8,1,0,8,2,0,2021-12-25 기독탄신일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,42,132,40,129,19,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-01,2022,31,10,2,1,11,5,3,2022-01-01 신정연휴; 2022-01-31 설날 전날,0,0,0,0,0,0,0,0,0,0,0,0,0,none,13,218,9,168,1,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-02,2022,28,8,2,2,10,5,2,2022-02-01 설날; 2022-02-02 설날 다음날,0,0,0,0,0,0,0,0,17,1,17,0,0,Beijing 2022 Winter Olympics,17,143,16,142,8,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-03,2022,31,8,2,2,10,2,0,2022-03-01 삼일절; 2022-03-09 대통령 선거일,0,0,0,0,0,0,0,0,0,0,0,0,0,none,33,128,32,127,23,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-04,2022,30,9,0,0,9,2,0,none,0,0,123,25,1,0,0,0,0,0,0,0,0,none,121,420,120,419,73,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-05,2022,31,9,2,1,10,2,0,2022-05-05 어린이날; 2022-05-08 부처님오신날,0,0,129,26,1,0,0,0,0,0,0,0,0,none,124,455,123,453,61,0,0,0,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-06,2022,30,8,2,2,10,3,3,2022-06-01 지방선거일; 2022-06-06 현충일,1,0,117,26,1,0,0,0,0,0,0,0,0,none,59,203,59,203,37,1,1,1,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-07,2022,31,10,0,0,10,2,0,none,1,1,95,21,1,0,0,0,0,0,0,0,0,none,63,256,62,255,46,2,2,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-08,2022,31,8,1,1,9,3,3,2022-08-15 광복절,1,1,109,25,1,0,0,0,0,0,0,0,0,none,97,335,97,335,67,2,2,2,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
2022-09,2022,30,8,4,2,10,4,4,2022-09-09 추석 전날; 2022-09-10 추석; 2022-09-11 추석 다음날; 2022-09-12 추석 대체 휴일,0,0,119,26,1,0,0,0,0,0,0,0,0,none,122,385,122,385,76,1,2,1,KR holidays from python-holidays/KR observed rules; KBO official Schedule.asmx; MCST regional festival ZIP/XLSX files; global sports event dates hand-coded from official event calendars.
