model,split,n_months,MASE,WAPE,RMSE
seasonal_naive,all_test,24,0.13546177703618756,0.005146614582500888,747.1497245867154
final_integrated_ridge,all_test,24,0.4892658070241204,0.018588731022454567,3466.1876935056894
chronos2_covariate_0603,all_test,24,0.749772132027122,0.028486177227785237,4658.833463704332
seasonal_naive,event_months,10,0.1511909469005143,0.005146619252614062,827.5315070980745
final_integrated_ridge,event_months,10,0.34149057190348386,0.011624518451499153,2224.802818989525
chronos2_covariate_0603,event_months,10,0.7128888120147504,0.024267109639193624,4478.715474557416
seasonal_naive,normal_months,14,0.12422665570452561,0.005146610522654271,683.9747860014394
final_integrated_ridge,normal_months,14,0.5948195463960037,0.024642895835845866,4130.457387374307
chronos2_covariate_0603,normal_months,14,0.7761173606073875,0.03215391859551704,4783.338484486322
