model,split,n_months,MASE,WAPE,RMSE
seasonal_naive,all_test,24,0.4452342891068579,0.01934621028902609,3619.926400619226
lagged_gt_gradient_boosting,all_test,24,0.6150302959283929,0.02672414441174577,4958.938261589739
gradient_boosting,all_test,24,0.6926050365947036,0.03009490287030402,5369.196771238071
lagged_gt_extra_trees,all_test,24,0.7090363202540012,0.03080887094681736,5672.180530987966
extra_trees,all_test,24,0.7188643041366423,0.031235914073464557,5724.281067349453
lagged_gt_random_forest,all_test,24,0.7524465762835287,0.032695122662812534,5466.649063195739
knn,all_test,24,0.761201542245504,0.03307554127997118,5836.707091003176
random_forest,all_test,24,0.765974547148482,0.03328293670935016,5620.026790391647
lagged_gt_knn,all_test,24,0.7721785480898236,0.03355251142491234,5857.678649048819
lagged_gt_hist_gradient_boosting,all_test,24,0.8141495026154906,0.035376222967690274,6682.7616007755105
hist_gradient_boosting,all_test,24,0.8188729333776618,0.03558146431375535,6726.993682207956
lasso,all_test,24,1.018227391871315,0.04424376497305498,9157.602183754887
ridge,all_test,24,1.126331253285588,0.04894106724097244,9934.261772469345
lagged_gt_elastic_net,all_test,24,1.3514450107288585,0.05872265459172809,10314.576821537754
elastic_net,all_test,24,1.4255410926864516,0.061942259231838055,10704.247346041187
lagged_gt_lasso,all_test,24,1.589286279126428,0.06905727460282013,14025.606510485955
lagged_gt_ridge,all_test,24,1.664925024896409,0.0723439106896311,14958.898215354378
svr_rbf,all_test,24,3.338826420020383,0.14507786039984844,24883.931741319
lagged_gt_svr_rbf,all_test,24,3.339035068050244,0.14508692652247382,24884.952501657233
seasonal_naive,event_months,10,0.4086807461947352,0.015890235164019464,3322.4864423035788
lagged_gt_gradient_boosting,event_months,10,0.6293342031912902,0.024469634497303456,4705.408713567192
knn,event_months,10,0.6963090325307804,0.027073735126422544,5526.841608091167
gradient_boosting,event_months,10,0.7153092685302778,0.027812498136461732,5116.954769331651
lagged_gt_knn,event_months,10,0.7604443595080559,0.02956743084729847,5742.359554455489
lagged_gt_extra_trees,event_months,10,0.831855818806365,0.032344035549677165,6608.303088918641
extra_trees,event_months,10,0.8444545366888103,0.0328338961359202,6651.839399848792
lagged_gt_random_forest,event_months,10,0.8608905518802417,0.03347295767474492,6131.886411325618
random_forest,event_months,10,0.874940212331864,0.03401923349182127,6368.719832544047
lagged_gt_hist_gradient_boosting,event_months,10,1.0875981151512166,0.04228775144073521,8584.34040175168
hist_gradient_boosting,event_months,10,1.0988857807651646,0.042726635980142855,8648.120086439152
lagged_gt_elastic_net,event_months,10,1.2216085592000934,0.04749831614239758,9463.603958098118
elastic_net,event_months,10,1.353769762856248,0.052636979084584444,10439.868419531793
lasso,event_months,10,1.4046071028904994,0.05461362539292939,12078.87734777892
ridge,event_months,10,1.5208131092412838,0.05913192185191068,12843.437307762579
lagged_gt_lasso,event_months,10,2.224345453975589,0.08648651221960867,19074.449474284684
lagged_gt_ridge,event_months,10,2.25127389959061,0.08753353813753702,20136.99761177501
svr_rbf,event_months,10,3.881391747126372,0.1509154228570726,29433.670363797082
lagged_gt_svr_rbf,event_months,10,3.881459589110085,0.15091806067420793,29433.96319051149
seasonal_naive,normal_months,14,0.47134396261551703,0.022357733797412054,3818.2236886194923
lagged_gt_gradient_boosting,normal_months,14,0.6048132193120378,0.028688715730012776,5132.368826220691
lagged_gt_hist_gradient_boosting,normal_months,14,0.618829065089972,0.029353543485755668,4891.057885685219
hist_gradient_boosting,normal_months,14,0.6188637566723024,0.029355189046586554,4914.692591145562
lagged_gt_extra_trees,normal_months,14,0.6213081070023126,0.029471134382308535,4895.1176133304925
extra_trees,normal_months,14,0.6291569951708079,0.029843438614875994,4956.581308138
lagged_gt_random_forest,normal_months,14,0.674986593714448,0.03201732020783232,4936.899966501064
gradient_boosting,normal_months,14,0.6763877280692934,0.03208378162752721,5542.345520269377
random_forest,normal_months,14,0.6881419291603521,0.03264133050868156,5017.305081550094
lasso,normal_months,14,0.7422418840004689,0.0352075082572104,6288.8080083080185
lagged_gt_knn,normal_months,14,0.7805601113625148,0.037025095401416935,5938.678588024654
knn,normal_months,14,0.8075533348988782,0.03830549221144745,6048.32804747799
ridge,normal_months,14,0.8445584990315198,0.04006079550252201,7166.442374759204
lagged_gt_lasso,normal_months,14,1.1356725828055985,0.05386950359243039,8794.791820070368
lagged_gt_ridge,normal_months,14,1.246104400114837,0.05910772741620386,9693.372299262945
lagged_gt_elastic_net,normal_months,14,1.4441853332494052,0.06850350019494246,10881.747107034624
elastic_net,normal_months,14,1.476806328279454,0.07005084476904377,10889.160218552024
svr_rbf,normal_months,14,2.951279757801821,0.13999103079728636,21040.151925904993
lagged_gt_svr_rbf,normal_months,14,2.9515889815789293,0.14000569852073413,21041.92884496134
