model,rows,wape,mase,pinball_0_1,pinball_0_5,pinball_0_9
seasonal_naive,24,0.005146614582500888,0.13546177703618756,331.41916666666634,52.68333333333552,1392.2868333333333
ets_additive,24,0.012417915045560437,0.32684647590972715,371.3340562841372,1157.3050977296741,1614.342090683526
chronos2_univariate,24,0.011143246615832108,0.2932964892427595,1064.1355143229168,798.8540104166672,739.0360026041662
chronos2_covariate,24,0.028486176701063674,0.7497721181635156,1170.966959635417,2042.1603580729188,396.662630208333
seasonal_naive_rolling,18,0.005213255963459055,0.13685907559231233,332.180333333333,72.13916666666773,1391.5256666666662
ets_additive_rolling,18,0.012654384371901826,0.3322045492236246,408.9695361060775,1261.1647090213337,1550.5983563148693
chronos2_rolling,18,0.0050784532183379034,0.13332021634314056,429.96160069444454,363.1253472222213,424.32047395833314
