model,rows,coverage_80,avg_width_80,avg_width_80_pct,coverage_95,avg_width_95,avg_width_95_pct
seasonal_naive,24,1.0,17237.059999999998,0.12387803537072646,1.0,18892.630000000005,0.13577616411302443
ets_additive,24,0.7083333333333334,17237.059999999998,0.12155343011422348,0.7916666666666666,18892.630000000005,0.1332282872124877
chronos2_univariate,24,1.0,18031.715169270832,0.1266437191914559,1.0,41869.494466145836,0.29506931961862537
chronos2_covariate,24,1.0,15676.2958984375,0.11308468769563794,1.0,43375.762044270836,0.31385345940003573
seasonal_naive_rolling,18,1.0,17237.059999999998,0.12598951391917812,1.0,18892.630000000005,0.13809044409863885
ets_additive_rolling,18,0.7222222222222222,17020.280833333334,0.12247577215735296,0.8333333333333334,18814.997374999995,0.13511539041928555
chronos2_rolling,18,1.0,8542.820746527777,0.0603194519309112,1.0,22313.520399305555,0.15825050345359382
